MID1,#F8766D
MID2,#DE8C00
MID3,#B79F00
MID4,#7CAE00
MID5,#00BA38
MID6,#00C08B
MID7,#00BFC4
MID8,#00B4F0
MID9,#619CFF
MID10,#C77CFF
MID11,#F564E3
MID13,#FF64B0
