VJ.combi,count.seq,mouseID,analysis_type,filename,path
IGHV1-26*01_IGHJ4*01_51_3,3,m13,all_YFP,m13_all_YFP_IGHV1-26-01_IGHJ4-01_51_3,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-26-01_IGHJ4-01_51_3.aln.fasta
IGHV1-26*01_IGHJ4*01_51_1,3,m13,all_YFP,m13_all_YFP_IGHV1-26-01_IGHJ4-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-26-01_IGHJ4-01_51_1.aln.fasta
IGHV5-16*01_IGHJ4*01_36_2,3,m13,all_YFP,m13_all_YFP_IGHV5-16-01_IGHJ4-01_36_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV5-16-01_IGHJ4-01_36_2.aln.fasta
IGHV1-76*01_IGHJ1*03_51_1,3,m13,all_YFP,m13_all_YFP_IGHV1-76-01_IGHJ1-03_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-76-01_IGHJ1-03_51_1.aln.fasta
IGHV3-6*01_IGHJ3*01_42_1,3,m13,all_YFP,m13_all_YFP_IGHV3-6-01_IGHJ3-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV3-6-01_IGHJ3-01_42_1.aln.fasta
IGHV4-1*01_IGHJ3*01_33_1,3,m13,all_YFP,m13_all_YFP_IGHV4-1-01_IGHJ3-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV4-1-01_IGHJ3-01_33_1.aln.fasta
IGHV9-3*01_IGHJ4*01_42_1,3,m13,all_YFP,m13_all_YFP_IGHV9-3-01_IGHJ4-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV9-3-01_IGHJ4-01_42_1.aln.fasta
IGHV1-53*01_IGHJ2*01_36_2,3,m13,all_YFP,m13_all_YFP_IGHV1-53-01_IGHJ2-01_36_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-53-01_IGHJ2-01_36_2.aln.fasta
IGHV3-6*01_IGHJ1*03_39_1,3,m13,all_YFP,m13_all_YFP_IGHV3-6-01_IGHJ1-03_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV3-6-01_IGHJ1-03_39_1.aln.fasta
IGHV1-9*01_IGHJ3*01_48_1,3,m13,all_YFP,m13_all_YFP_IGHV1-9-01_IGHJ3-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-9-01_IGHJ3-01_48_1.aln.fasta
IGHV1-59*01_IGHJ3*01_48_1,3,m13,all_YFP,m13_all_YFP_IGHV1-59-01_IGHJ3-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-59-01_IGHJ3-01_48_1.aln.fasta
IGHV1-55*01_IGHJ1*03_45_2,3,m13,all_YFP,m13_all_YFP_IGHV1-55-01_IGHJ1-03_45_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-55-01_IGHJ1-03_45_2.aln.fasta
IGHV1-77*01_IGHJ3*01_30_1,3,m13,all_YFP,m13_all_YFP_IGHV1-77-01_IGHJ3-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-77-01_IGHJ3-01_30_1.aln.fasta
IGHV9-3*01_IGHJ4*01_51_1,3,m13,all_YFP,m13_all_YFP_IGHV9-3-01_IGHJ4-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV9-3-01_IGHJ4-01_51_1.aln.fasta
IGHV6-3*01_IGHJ3*01_36_2,3,m13,all_YFP,m13_all_YFP_IGHV6-3-01_IGHJ3-01_36_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV6-3-01_IGHJ3-01_36_2.aln.fasta
IGHV1-55*01_IGHJ2*01_18_1,3,m13,all_YFP,m13_all_YFP_IGHV1-55-01_IGHJ2-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-55-01_IGHJ2-01_18_1.aln.fasta
IGHV1-39*01_IGHJ2*01_42_1,3,m13,all_YFP,m13_all_YFP_IGHV1-39-01_IGHJ2-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-39-01_IGHJ2-01_42_1.aln.fasta
IGHV1-19*01_IGHJ3*01_35_1,3,m13,all_YFP,m13_all_YFP_IGHV1-19-01_IGHJ3-01_35_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-19-01_IGHJ3-01_35_1.aln.fasta
IGHV1-19*01_IGHJ2*01_18_1,3,m13,all_YFP,m13_all_YFP_IGHV1-19-01_IGHJ2-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-19-01_IGHJ2-01_18_1.aln.fasta
IGHV1-42*01_IGHJ1*03_51_1,3,m13,all_YFP,m13_all_YFP_IGHV1-42-01_IGHJ1-03_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-42-01_IGHJ1-03_51_1.aln.fasta
IGHV1-47*01_IGHJ2*01_33_1,3,m13,all_YFP,m13_all_YFP_IGHV1-47-01_IGHJ2-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-47-01_IGHJ2-01_33_1.aln.fasta
IGHV1-52*01_IGHJ2*01_36_1,3,m13,all_YFP,m13_all_YFP_IGHV1-52-01_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-52-01_IGHJ2-01_36_1.aln.fasta
IGHV1-19*01_IGHJ4*01_36_3,3,m13,all_YFP,m13_all_YFP_IGHV1-19-01_IGHJ4-01_36_3,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-19-01_IGHJ4-01_36_3.aln.fasta
IGHV9-3*01_IGHJ2*01_45_1,3,m13,all_YFP,m13_all_YFP_IGHV9-3-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV9-3-01_IGHJ2-01_45_1.aln.fasta
