VJ.combi,count.seq,mouseID,analysis_type,filename,path
IGHV9-3*01_IGHJ2*01_45_1,3,m37,neg_YFP,m37_neg_YFP_IGHV9-3-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV9-3-01_IGHJ2-01_45_1.aln.fasta
IGHV1-18*01_IGHJ4*01_54_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-18-01_IGHJ4-01_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-18-01_IGHJ4-01_54_1.aln.fasta
IGHV1-12*01_IGHJ2*01_36_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-12-01_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-12-01_IGHJ2-01_36_1.aln.fasta
IGHV1-9*01_IGHJ2*01_45_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-9-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-9-01_IGHJ2-01_45_1.aln.fasta
IGHV1-34*01_IGHJ3*01_54_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-34-01_IGHJ3-01_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-34-01_IGHJ3-01_54_1.aln.fasta
IGHV1-42*01_IGHJ4*01_54_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-42-01_IGHJ4-01_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-42-01_IGHJ4-01_54_1.aln.fasta
IGHV1-69*01_IGHJ4*01_45_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-69-01_IGHJ4-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-69-01_IGHJ4-01_45_1.aln.fasta
IGHV1-42*01_IGHJ2*01_30_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-42-01_IGHJ2-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-42-01_IGHJ2-01_30_1.aln.fasta
IGHV8-12*01_IGHJ4*01_57_1,3,m37,neg_YFP,m37_neg_YFP_IGHV8-12-01_IGHJ4-01_57_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV8-12-01_IGHJ4-01_57_1.aln.fasta
IGHV7-1*01_IGHJ1*03_39_1,3,m37,neg_YFP,m37_neg_YFP_IGHV7-1-01_IGHJ1-03_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV7-1-01_IGHJ1-03_39_1.aln.fasta
IGHV4-1*01_IGHJ3*01_45_1,3,m37,neg_YFP,m37_neg_YFP_IGHV4-1-01_IGHJ3-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV4-1-01_IGHJ3-01_45_1.aln.fasta
IGHV1-7*01_IGHJ3*01_45_2,3,m37,neg_YFP,m37_neg_YFP_IGHV1-7-01_IGHJ3-01_45_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-7-01_IGHJ3-01_45_2.aln.fasta
IGHV9-2*01_IGHJ4*01_42_2,3,m37,neg_YFP,m37_neg_YFP_IGHV9-2-01_IGHJ4-01_42_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV9-2-01_IGHJ4-01_42_2.aln.fasta
IGHV1-12*01_IGHJ4*01_66_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-12-01_IGHJ4-01_66_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-12-01_IGHJ4-01_66_1.aln.fasta
IGHV1-22*01_IGHJ1*03_48_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-22-01_IGHJ1-03_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-22-01_IGHJ1-03_48_1.aln.fasta
IGHV1-82*01_IGHJ1*03_27_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-82-01_IGHJ1-03_27_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-82-01_IGHJ1-03_27_1.aln.fasta
IGHV1-5*01_IGHJ3*01_42_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-5-01_IGHJ3-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-5-01_IGHJ3-01_42_1.aln.fasta
IGHV9-4*01_IGHJ4*01_39_1,3,m37,neg_YFP,m37_neg_YFP_IGHV9-4-01_IGHJ4-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV9-4-01_IGHJ4-01_39_1.aln.fasta
IGHV1-26*01_IGHJ3*01_54_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-26-01_IGHJ3-01_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-26-01_IGHJ3-01_54_1.aln.fasta
IGHV6-6*01_IGHJ2*01_45_1,3,m37,neg_YFP,m37_neg_YFP_IGHV6-6-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV6-6-01_IGHJ2-01_45_1.aln.fasta
IGHV1-7*01_IGHJ4*01_39_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-7-01_IGHJ4-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-7-01_IGHJ4-01_39_1.aln.fasta
IGHV1-31*01_IGHJ2*01_45_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-31-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-31-01_IGHJ2-01_45_1.aln.fasta
IGHV5-17*01_IGHJ3*01_39_1,3,m37,neg_YFP,m37_neg_YFP_IGHV5-17-01_IGHJ3-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV5-17-01_IGHJ3-01_39_1.aln.fasta
IGHV1-5*01_IGHJ2*01_42_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-5-01_IGHJ2-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-5-01_IGHJ2-01_42_1.aln.fasta
IGHV3-6*01_IGHJ1*03_42_1,3,m37,neg_YFP,m37_neg_YFP_IGHV3-6-01_IGHJ1-03_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV3-6-01_IGHJ1-03_42_1.aln.fasta
IGHV8-8*01_IGHJ2*01_51_1,3,m37,neg_YFP,m37_neg_YFP_IGHV8-8-01_IGHJ2-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV8-8-01_IGHJ2-01_51_1.aln.fasta
