VJ.combi,count.seq,mouseID,analysis_type,filename,path
IGHV1-9*01_IGHJ1*03_45_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-9-01_IGHJ1-03_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-9-01_IGHJ1-03_45_1.aln.fasta
IGHV1-26*01_IGHJ1*03_54_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-26-01_IGHJ1-03_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-26-01_IGHJ1-03_54_1.aln.fasta
IGHV3-6*01_IGHJ3*01_27_1,3,m30,pos_YFP,m30_pos_YFP_IGHV3-6-01_IGHJ3-01_27_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV3-6-01_IGHJ3-01_27_1.aln.fasta
IGHV6-3*01_IGHJ2*01_33_2,3,m30,pos_YFP,m30_pos_YFP_IGHV6-3-01_IGHJ2-01_33_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV6-3-01_IGHJ2-01_33_2.aln.fasta
IGHV6-3*01_IGHJ2*01_33_1,3,m30,pos_YFP,m30_pos_YFP_IGHV6-3-01_IGHJ2-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV6-3-01_IGHJ2-01_33_1.aln.fasta
IGHV1-54*01_IGHJ2*01_18_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-54-01_IGHJ2-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-54-01_IGHJ2-01_18_1.aln.fasta
IGHV3-6*01_IGHJ3*01_44_2,3,m30,pos_YFP,m30_pos_YFP_IGHV3-6-01_IGHJ3-01_44_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV3-6-01_IGHJ3-01_44_2.aln.fasta
IGHV7-4*01_IGHJ4*01_54_1,3,m30,pos_YFP,m30_pos_YFP_IGHV7-4-01_IGHJ4-01_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV7-4-01_IGHJ4-01_54_1.aln.fasta
IGHV5-12*01_IGHJ1*03_42_1,3,m30,pos_YFP,m30_pos_YFP_IGHV5-12-01_IGHJ1-03_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV5-12-01_IGHJ1-03_42_1.aln.fasta
IGHV1-4*01_IGHJ3*01_30_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-4-01_IGHJ3-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-4-01_IGHJ3-01_30_1.aln.fasta
IGHV5-17*01_IGHJ4*01_42_1,3,m30,pos_YFP,m30_pos_YFP_IGHV5-17-01_IGHJ4-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV5-17-01_IGHJ4-01_42_1.aln.fasta
IGHV1-9*01_IGHJ3*01_39_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-9-01_IGHJ3-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-9-01_IGHJ3-01_39_1.aln.fasta
IGHV1-80*01_IGHJ3*01_57_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-80-01_IGHJ3-01_57_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-80-01_IGHJ3-01_57_1.aln.fasta
IGHV1-74*01_IGHJ2*01_45_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-74-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-74-01_IGHJ2-01_45_1.aln.fasta
IGHV1-4*01_IGHJ4*01_36_2,3,m30,pos_YFP,m30_pos_YFP_IGHV1-4-01_IGHJ4-01_36_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-4-01_IGHJ4-01_36_2.aln.fasta
IGHV1-22*01_IGHJ2*01_48_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-22-01_IGHJ2-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-22-01_IGHJ2-01_48_1.aln.fasta
IGHV1-5*01_IGHJ2*01_30_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-5-01_IGHJ2-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-5-01_IGHJ2-01_30_1.aln.fasta
IGHV1-55*01_IGHJ2*01_27_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-55-01_IGHJ2-01_27_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-55-01_IGHJ2-01_27_1.aln.fasta
IGHV6-3*01_IGHJ2*01_27_2,3,m30,pos_YFP,m30_pos_YFP_IGHV6-3-01_IGHJ2-01_27_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV6-3-01_IGHJ2-01_27_2.aln.fasta
IGHV1-77*01_IGHJ4*01_51_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-77-01_IGHJ4-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-77-01_IGHJ4-01_51_1.aln.fasta
IGHV6-3*01_IGHJ3*01_36_1,3,m30,pos_YFP,m30_pos_YFP_IGHV6-3-01_IGHJ3-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV6-3-01_IGHJ3-01_36_1.aln.fasta
IGHV1-9*01_IGHJ3*01_51_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-9-01_IGHJ3-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-9-01_IGHJ3-01_51_1.aln.fasta
IGHV1-9*01_IGHJ4*01_51_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-9-01_IGHJ4-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-9-01_IGHJ4-01_51_1.aln.fasta
IGHV14-3*01_IGHJ3*01_36_1,3,m30,pos_YFP,m30_pos_YFP_IGHV14-3-01_IGHJ3-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV14-3-01_IGHJ3-01_36_1.aln.fasta
IGHV8-8*01_IGHJ2*01_42_1,3,m30,pos_YFP,m30_pos_YFP_IGHV8-8-01_IGHJ2-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV8-8-01_IGHJ2-01_42_1.aln.fasta
IGHV1-85*01_IGHJ4*01_42_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-85-01_IGHJ4-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-85-01_IGHJ4-01_42_1.aln.fasta
IGHV1-54*02_IGHJ2*02_24_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-54-02_IGHJ2-02_24_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-54-02_IGHJ2-02_24_1.aln.fasta
IGHV1-19*01_IGHJ2*02_42_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-19-01_IGHJ2-02_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-19-01_IGHJ2-02_42_1.aln.fasta
IGHV1-64*01_IGHJ4*01_39_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-64-01_IGHJ4-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-64-01_IGHJ4-01_39_1.aln.fasta
IGHV2-6*03_IGHJ4*01_45_1,3,m30,pos_YFP,m30_pos_YFP_IGHV2-6-03_IGHJ4-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV2-6-03_IGHJ4-01_45_1.aln.fasta
IGHV1-39*01_IGHJ2*01_30_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-39-01_IGHJ2-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-39-01_IGHJ2-01_30_1.aln.fasta
IGHV1-52*01_IGHJ3*01_42_2,3,m30,pos_YFP,m30_pos_YFP_IGHV1-52-01_IGHJ3-01_42_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-52-01_IGHJ3-01_42_2.aln.fasta
IGHV9-3*01_IGHJ1*03_48_2,3,m30,pos_YFP,m30_pos_YFP_IGHV9-3-01_IGHJ1-03_48_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV9-3-01_IGHJ1-03_48_2.aln.fasta
IGHV1-64*01_IGHJ2*01_42_3,3,m30,pos_YFP,m30_pos_YFP_IGHV1-64-01_IGHJ2-01_42_3,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-64-01_IGHJ2-01_42_3.aln.fasta
IGHV2-2*01_IGHJ4*01_42_1,4,m30,pos_YFP,m30_pos_YFP_IGHV2-2-01_IGHJ4-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV2-2-01_IGHJ4-01_42_1.aln.fasta
IGHV1-59*01_IGHJ2*01_32_2,4,m30,pos_YFP,m30_pos_YFP_IGHV1-59-01_IGHJ2-01_32_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-59-01_IGHJ2-01_32_2.aln.fasta
